# ORCID IDs of authors from papers cited in 2025 publications (OpenAlex ID: A5052404353)
# Total unique authors with ORCID: 1684
# Format: ORCID_ID | OpenAlex_ID | Display_Name

0000-0001-6217-7731 | A5007714628 | Tetsuya Tamaki
0000-0001-6219-0418 | A5015718175 | Jaime Martínez-Urtaza
0000-0001-6219-4312 | A5010218516 | Joaquín Bedia
0000-0001-6226-7075 | A5023919707 | Ruixue Lei
0000-0001-6227-7732 | A5070116553 | Leon Mach
0000-0001-6232-9336 | A5033918661 | Josh Foster
0000-0001-6235-5868 | A5019669154 | Marta Coll
0000-0001-6238-9056 | A5042344499 | Nícola Ulibarrí
0000-0001-6251-3483 | A5100735866 | Yuan Mei
0000-0001-6254-7122 | A5089571780 | Philip B. Duffy
0000-0001-6258-1304 | A5001733028 | Heike K. Lotze
0000-0001-6266-8485 | A5100390992 | Qian Wang
0000-0001-6289-3826 | A5091519127 | Marco Antonio Vieira
0000-0001-6291-6397 | A5006144418 | Kelly de Bruin
0000-0001-6295-1870 | A5084511389 | Tom Matthews
0000-0001-6304-7103 | A5051484500 | Anil Markandya
0000-0001-6305-2105 | A5054758866 | Jessika E. Trancik
0000-0001-6330-7278 | A5076740736 | Vassilis Tselios
0000-0001-6333-4399 | A5024030541 | Seung‐Muk Yi
0000-0001-6375-895X | A5086405744 | Susanne C. Moser
0000-0001-6395-7422 | A5046556682 | Shaojie Song
0000-0001-6413-7020 | A5042466373 | Chiyuan Miao
0000-0001-6415-8083 | A5009061810 | Fei Guo
0000-0001-6415-965X | A5063888303 | Melissa Bukovsky
0000-0001-6416-0634 | A5006838509 | Sophie C. Lewis
0000-0001-6418-6383 | A5025732930 | Randal D. Koster
0000-0001-6419-7330 | A5018793294 | Yusuke Satoh
0000-0001-6428-6755 | A5033990372 | Aurelio Tobı́as
0000-0001-6429-1474 | A5085735291 | Chuanyi Ji
0000-0001-6429-9329 | A5022803923 | Benjamin Doughty
0000-0001-6439-2160 | A5073234357 | Qiao Zhu
0000-0001-6470-4777 | A5090157512 | Cara Marcy
0000-0001-6491-2592 | A5021368967 | Aoife Foley
0000-0001-6500-2101 | A5085868360 | Masahiro Watanabe
0000-0001-6503-0786 | A5020570477 | Fei Teng
0000-0001-6518-4961 | A5100686868 | Yawen Liu
0000-0001-6566-0171 | A5019259219 | Jinyu Xiao
0000-0001-6587-0902 | A5068212823 | Kaiqiang Deng
0000-0001-6601-0058 | A5019223961 | David D. Breshears
0000-0001-6637-6084 | A5054875893 | Tabea Lissner
0000-0001-6649-7628 | A5079619516 | Alice Tianbo Zhang
0000-0001-6657-8401 | A5054409245 | Yuan Wang
0000-0001-6660-960X | A5013801277 | Sina Loriani
0000-0001-6664-1079 | A5054529198 | Yasna Palmeiro-Silva
0000-0001-6677-7064 | A5028867972 | Carolyn A. F. Enquist
0000-0001-6702-0469 | A5030504932 | Thordis L. Thorarinsdottir
0000-0001-6720-409X | A5057996181 | Ken Oshiro
0000-0001-6735-5461 | A5029092653 | Young‐Kwon Lim
0000-0001-6740-5051 | A5007421145 | Enrico Arnone
0000-0001-6755-1569 | A5055029228 | Mathijs Harmsen
0000-0001-6757-2298 | A5080907861 | Mark Bolinger
0000-0001-6760-5483 | A5026193236 | Thomas Le Gallic
0000-0001-6788-8313 | A5072933043 | A.R. Siders
0000-0001-6798-6247 | A5036153066 | Sven Willner
0000-0001-6811-2752 | A5075817072 | Shu Zeng
0000-0001-6842-6735 | A5020932654 | Chandni Singh
0000-0001-6852-7333 | A5028615209 | Yannick Peings
0000-0001-6853-5907 | A5036502212 | Rubina Zadourian
0000-0001-6863-9271 | A5100323109 | Chao Li
0000-0001-6869-7615 | A5056976571 | Iman Mallakpour
0000-0001-6879-7149 | A5074856020 | Jennifer Stowell
0000-0001-6884-2798 | A5005775557 | Joni Jupesta
0000-0001-6887-6533 | A5064215676 | Mark G. Stewart
0000-0001-6897-175X | A5067282665 | Troy R. Hawkins
0000-0001-6913-5956 | A5048209587 | Johan Lilliestam
0000-0001-6915-177X | A5031902350 | Slava Mikhaylov
0000-0001-6928-0184 | A5008122495 | Eric O’Shaughnessy
0000-0001-6935-4112 | A5000003309 | David A. Randall
0000-0001-6936-4222 | A5039583392 | Katy Davis
0000-0001-6946-7213 | A5080870096 | A. Patrick Behrer
0000-0001-6955-9708 | A5063974513 | Kim Robin van Daalen
0000-0001-7011-0377 | A5025297293 | Kandler Smith
0000-0001-7040-3057 | A5005798398 | Elina Brutschin
0000-0001-7048-5451 | A5086275141 | Adam Lawrence Reed
0000-0001-7050-3381 | A5048068083 | Gabriela Nagle Alverio
0000-0001-7052-1483 | A5031363605 | Bastien Dieppois
0000-0001-7058-5938 | A5043558837 | Lisa Bock
0000-0001-7134-2540 | A5015535190 | Enrica De Cian
0000-0001-7135-2618 | A5013331823 | Vadim Vinichenko
0000-0001-7136-4803 | A5091516387 | Dmitrii Bogdanov
0000-0001-7140-1053 | A5005599800 | Elena Verdolini
0000-0001-7164-0185 | A5039575017 | Josué M. Polanco-Martínez
0000-0001-7170-4302 | A5033543546 | Sagar Rathod
0000-0001-7173-7761 | A5004079337 | Yangyang Xu
0000-0001-7174-681X | A5014434693 | Jill Harris
0000-0001-7176-2692 | A5100439937 | Yilong Wang
0000-0001-7176-4604 | A5001783200 | Nebojša Nakićenović
0000-0001-7192-3484 | A5050903162 | Maria Walawender
0000-0001-7193-3498 | A5035238849 | Keywan Riahi
0000-0001-7194-0647 | A5015049046 | A.J. Hudson
0000-0001-7196-9917 | A5000280113 | Claire Trevisan
0000-0001-7202-5299 | A5058519822 | Jan Boll
0000-0001-7287-8347 | A5053264314 | Anna Pirani
0000-0001-7288-0391 | A5032478603 | Neha Patankar
